 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          51,       40663,     28.4872,      3.6516,      2.9671,      1.0000,     22.6452,     78.8235,     92.7772,     95.9054,     87.1825,     99.4049,         NaN,     67.6538
          52,       40663,     28.0728,      6.2058,      2.9420,      1.0000,     42.0029,     78.8358,     92.6739,     95.7283,     87.0841,     98.8985,         NaN,     67.6576
          53,       40663,     28.1527,      4.0592,      3.1918,      1.0000,     24.9902,     78.7669,     92.7157,     95.7947,     87.0693,     99.3434,         NaN,     67.5801
          54,       40663,     31.3536,      5.7977,      2.9496,      1.0000,     39.5007,     78.8506,     92.7452,     95.7726,     87.1087,     98.9565,         NaN,     67.6639
          55,       40663,     28.1276,      3.8150,      2.8247,      1.0000,     25.3889,     78.9809,     93.2273,     96.3308,     87.4136,     99.2827,         NaN,     67.8082
          56,       40663,     34.8071,      5.5525,      2.9611,      1.0000,     37.8866,     78.8628,     92.7354,     95.7873,     87.1259,     98.9975,         NaN,     67.6674
          57,       40663,     31.2584,      3.9554,      2.7815,      1.0000,     27.0526,     79.0571,     93.2715,     96.3923,     87.5120,     99.2370,         NaN,     67.8682
          58,       40663,     38.5966,      5.3796,      2.9717,      1.0000,     36.6852,     78.8604,     92.7256,     95.8144,     87.1357,     99.0266,         NaN,     67.6678
          59,       40663,     31.3375,      3.9732,      2.7749,      1.0000,     27.1901,     79.0448,     93.2519,     96.3751,     87.4948,     99.2164,         NaN,     67.8618
          60,       40663,     42.5658,      5.2594,      2.9737,      1.0000,     35.8594,     78.8653,     92.7797,     95.8414,     87.1800,     99.0428,         NaN,     67.6921
          61,       40663,     31.3313,      4.0930,      2.7601,      1.0000,     28.3444,     79.0571,     93.2838,     96.3775,     87.4899,     99.1820,         NaN,     67.8649
          62,       40663,     46.9514,      5.1361,      2.9726,      1.0000,     35.0029,     78.8874,     92.7895,     95.8808,     87.1898,     99.0596,         NaN,     67.6884
          63,       40663,     34.5014,      4.0765,      2.7436,      1.0000,     28.2763,     79.0202,     93.2691,     96.3702,     87.5194,     99.1765,         NaN,     67.8754
          64,       40663,     24.9543,      3.9225,      2.7118,      1.0000,     27.1311,     79.1112,     93.3502,     96.4046,     87.5563,     99.3007,         NaN,     67.9163
          65,       40663,     25.2627,      3.5893,      2.9047,      1.0000,     22.5765,     79.0202,     93.1879,     96.3210,     87.4653,     99.4091,         NaN,     67.8571
          66,       40663,     24.8702,      3.9273,      2.7166,      1.0000,     27.1506,     79.1604,     93.3355,     96.4243,     87.5513,     99.3002,         NaN,     67.9354
          67,       40663,     25.2443,      3.5983,      2.9138,      1.0000,     22.6284,     78.9809,     93.1879,     96.2988,     87.4062,     99.4093,         NaN,     67.8171
          68,       40663,     24.8999,      5.9447,      2.7038,      1.0000,     41.7087,     78.9489,     93.0527,     96.1169,     87.2587,     98.9064,         NaN,     67.7760
          69,       40663,     25.0039,      3.8072,      2.9638,      1.0000,     24.5513,     78.9489,     93.0846,     96.2029,     87.2980,     99.3530,         NaN,     67.7367
