   1969       1 
   1584      10 
      1     100 
      1     101 
      1     105 
      1     106 
      1     107 
      1     108 
      1    1080 
      3     109 
    409      11 
      2     111 
      1     113 
      1     115 
      3     116 
      1     118 
      1     119 
    117      12 
      1     120 
      1     121 
      1     122 
      3     124 
      1     125 
      1     127 
     63      13 
      1     131 
      1     133 
      1     134 
      1     137 
      1     138 
      2     139 
     69      14 
      1     142 
      2     146 
      1     147 
      1     148 
      1     149 
     59      15 
      1     151 
     62      16 
      1     164 
      3     165 
      2     167 
      1     169 
     55      17 
      2     171 
      1     173 
      1     174 
      2     176 
      1     177 
      1     178 
     57      18 
      7     180 
      2     181 
      2     182 
      2     184 
      1     189 
      1    1897 
     31      19 
      1     191 
      1     193 
   2854       2 
     22      20 
      1     201 
      1     204 
      1     207 
     17      21 
      1     213 
     27      22 
      1     229 
     13      23 
     15      24 
      1     241 
      1     242 
      1     246 
     18      25 
      5      26 
     10      27 
      1     276 
      1     277 
      7      28 
      7      29 
      1     291 
      1     293 
    866       3 
     10      30 
      1     300 
     34      31 
      1     310 
     57      32 
     18      33 
     12      34 
      5      35 
      6      36 
      1     365 
      4      37 
      4      38 
      8      39 
   1708       4 
      8      40 
      1     401 
      1     403 
      4      41 
      6      42 
      7      43 
      4      44 
      3      45 
      2      47 
      5      48 
      1     484 
      2      49 
   1426       5 
      1      50 
      1     508 
      2      51 
      1      52 
      3      53 
      2      54 
      4      56 
      1      57 
      1      58 
      2      59 
    520       6 
      1      60 
      1      61 
      1      62 
      3      65 
      4      66 
      2      67 
      2      68 
      1      69 
    968       7 
      1      70 
      2      71 
      3      73 
      3      74 
      2      77 
      2      78 
      1      79 
      1     790 
      1     795 
   2874       8 
      1      81 
      1      82 
      5      84 
      1     845 
      2      85 
      3      86 
      2      87 
      1      88 
   2728       9 
      2      91 
      1      92 
      1      96 
      3      97 
      5      98 
      5      99 
