 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          49,       40663,     28.2981,      3.6504,      2.9659,      1.0000,     22.6319,     78.8038,     92.7551,     95.9054,     87.1775,     99.4039,         NaN,     67.6291
          50,       40663,     27.9341,      3.9775,      2.7670,      1.0000,     27.1775,     79.0129,     92.9567,     96.0062,     87.3423,     99.2946,         NaN,     67.7724
          51,       40663,     28.3042,      3.6488,      2.9643,      1.0000,     22.6279,     78.8235,     92.7403,     95.8980,     87.1874,     99.4030,         NaN,     67.6454
          52,       40663,     27.9633,      6.1924,      2.9408,      1.0000,     41.9218,     78.8137,     92.6715,     95.7037,     87.0693,     98.8993,         NaN,     67.6488
          53,       40663,     28.0816,      4.0557,      3.1882,      1.0000,     24.9860,     78.7251,     92.7231,     95.7922,     87.0742,     99.3440,         NaN,     67.5711
          54,       40663,     31.3226,      5.7876,      2.9517,      1.0000,     39.4253,     78.8481,     92.7133,     95.7701,     87.1210,     98.9568,         NaN,     67.6737
          55,       40663,     28.0125,      3.8343,      2.8317,      1.0000,     25.5536,     79.0129,     93.2445,     96.3357,     87.4136,     99.2805,         NaN,     67.7938
          56,       40663,     34.7002,      5.5403,      2.9612,      1.0000,     37.8101,     78.8309,     92.7231,     95.7996,     87.1579,     98.9986,         NaN,     67.6764
          57,       40663,     31.1470,      3.9431,      2.7937,      1.0000,     26.8668,     79.0743,     93.2666,     96.3825,     87.5071,     99.2377,         NaN,     67.8511
          58,       40663,     38.4869,      5.3626,      2.9669,      1.0000,     36.5926,     78.8506,     92.7625,     95.8168,     87.1652,     99.0271,         NaN,     67.6893
          59,       40663,     31.2035,      3.9875,      2.7769,      1.0000,     27.3407,     79.0399,     93.2617,     96.3677,     87.5194,     99.2136,         NaN,     67.8673
          60,       40663,     42.4869,      5.2441,      2.9706,      1.0000,     35.7744,     78.8678,     92.7920,     95.8537,     87.1997,     99.0448,         NaN,     67.6964
